genotype_id,family,stage,site,season,rep,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance,tree_vigor,yield_kg,fruit_length_mm,fruit_width_mm,shelf_life_days,shape_index
MNG-2021-0032,Cross_06,Advanced,Hoedspruit_A,2022-2023,3,305.1,14.83,5.0,3.39,4.0,5.0,86.21,85.97,77.51,12.33,1.11
MNG-2018-0029,Cross_11,Seedling,Hoedspruit_A,2022-2023,1,363.83,16.2,4.0,4.08,5.0,5.0,79.57,97.82,89.57,13.89,1.09
MNG-2018-0029,Cross_11,Seedling,Hoedspruit_A,2022-2023,2,351.04,15.69,3.0,3.21,5.0,4.0,76.07,100.29,91.93,13.83,1.09
MNG-2018-0029,Cross_11,Seedling,Hoedspruit_A,2022-2023,3,382.21,15.69,3.0,3.84,5.0,4.0,81.73,96.65,80.6,17.83,1.2
MNG-2021-0018,Cross_01,Phase_2,Hoedspruit_A,2022-2023,1,404.87,16.42,8.0,2.77,7.0,7.0,86.34,95.02,85.12,14.15,1.12
MNG-2021-0018,Cross_01,Phase_2,Hoedspruit_A,2022-2023,2,353.63,17.06,7.0,3.65,4.0,7.0,90.01,106.43,74.88,14.17,1.42
MNG-2021-0018,Cross_01,Phase_2,Hoedspruit_A,2022-2023,3,372.44,15.22,8.0,,4.0,8.0,104.88,101.74,74.64,13.83,1.36
MNG-2021-0002,Cross_14,Phase_1,Hoedspruit_A,2022-2023,1,328.3,12.55,6.0,3.8,7.0,7.0,69.51,118.05,57.82,13.06,2.04
MNG-2021-0002,Cross_14,Phase_1,Hoedspruit_A,2022-2023,2,386.39,14.66,5.0,,7.0,5.0,77.52,135.4,54.86,16.21,2.47
MNG-2021-0002,Cross_14,Phase_1,Hoedspruit_A,2022-2023,3,324.36,12.41,5.0,2.52,6.0,6.0,78.71,113.97,63.7,13.32,1.79
MNG-2020-0015,Cross_18,Seedling,Hoedspruit_A,2022-2023,1,357.52,15.94,4.0,3.54,3.0,5.0,91.1,95.63,83.93,13.34,1.14
MNG-2020-0015,Cross_18,Seedling,Hoedspruit_A,2022-2023,2,401.12,14.51,6.0,4.13,4.0,6.0,74.44,104.78,79.6,14.67,1.32
MNG-2020-0024,Cross_01,Seedling,Hoedspruit_A,2022-2023,1,313.94,16.96,4.0,3.25,6.0,4.0,77.8,130.81,83.97,9.07,1.56
MNG-2020-0024,Cross_01,Seedling,Hoedspruit_A,2022-2023,2,280.8,15.73,5.0,3.66,4.0,4.0,79.4,129.48,,12.36,
MNG-2020-0017,Cross_05,Phase_1,Hoedspruit_A,2022-2023,1,336.62,11.99,6.0,5.96,4.0,5.0,76.17,111.56,91.11,16.36,1.22
MNG-2020-0017,Cross_05,Phase_1,Hoedspruit_A,2022-2023,2,323.32,11.6,,6.89,6.0,6.0,42.21,98.57,95.99,13.29,1.03
MNG-2020-0017,Cross_05,Phase_1,Hoedspruit_A,2022-2023,3,321.53,13.64,5.0,7.07,3.0,6.0,48.36,102.37,87.06,14.46,1.18
MNG-2022-0011,Cross_03,Seedling,Hoedspruit_A,2022-2023,1,314.84,12.3,7.0,4.23,5.0,7.0,85.47,119.68,75.91,13.14,1.58
MNG-2022-0011,Cross_03,Seedling,Hoedspruit_A,2022-2023,2,301.34,12.77,6.0,4.97,5.0,7.0,68.13,114.16,84.28,,1.35
MNG-2019-0007,Cross_09,Phase_1,Hoedspruit_A,2022-2023,1,350.05,12.89,5.0,4.36,3.0,8.0,100.48,116.14,64.96,14.73,1.79
MNG-2019-0007,Cross_09,Phase_1,Hoedspruit_A,2022-2023,2,304.64,14.6,5.0,4.37,3.0,7.0,123.29,123.64,67.3,14.47,1.84
MNG-2022-0002,Cross_14,Advanced,Hoedspruit_A,2022-2023,1,328.33,14.06,5.0,5.77,6.0,,79.91,86.19,83.59,17.25,1.03
MNG-2022-0002,Cross_14,Advanced,Hoedspruit_A,2022-2023,2,,13.79,5.0,5.41,6.0,5.0,84.8,88.63,76.94,13.25,1.15
MNG-2022-0002,Cross_14,Advanced,Hoedspruit_A,2022-2023,3,336.46,12.98,4.0,4.84,7.0,6.0,93.91,100.11,81.39,12.81,1.23
MNG-2022-0023,Cross_10,Seedling,Hoedspruit_A,2022-2023,1,327.25,15.0,6.0,3.8,6.0,6.0,70.79,112.06,75.63,13.76,1.48
MNG-2022-0023,Cross_10,Seedling,Hoedspruit_A,2022-2023,2,304.52,16.17,6.0,4.75,5.0,6.0,95.89,111.9,78.93,11.45,1.42
MNG-2022-0023,Cross_10,Seedling,Hoedspruit_A,2022-2023,3,291.94,16.43,6.0,4.04,6.0,6.0,92.9,112.69,,14.94,
MNG-2021-0034,Cross_06,Seedling,Hoedspruit_A,2022-2023,1,327.24,15.2,3.0,5.8,7.0,7.0,55.79,108.44,92.94,17.71,1.17
MNG-2021-0034,Cross_06,Seedling,Hoedspruit_A,2022-2023,2,350.05,16.0,3.0,3.78,7.0,6.0,76.6,112.19,81.18,15.08,1.38
MNG-2021-0029,Cross_17,Phase_1,Hoedspruit_A,2022-2023,1,303.1,20.11,5.0,4.6,,7.0,104.55,133.18,69.65,12.91,1.91
MNG-2021-0029,Cross_17,Phase_1,Hoedspruit_A,2022-2023,2,322.13,20.68,6.0,3.82,4.0,7.0,102.94,113.55,67.55,14.03,1.68
MNG-2021-0029,Cross_17,Phase_1,Hoedspruit_A,2022-2023,3,266.4,20.61,5.0,3.53,3.0,8.0,80.47,113.36,69.92,14.52,1.62
MNG-2019-0008,Cross_18,Phase_1,Hoedspruit_A,2022-2023,1,344.66,13.86,8.0,4.25,6.0,6.0,85.99,86.81,80.18,12.5,1.08
MNG-2019-0008,Cross_18,Phase_1,Hoedspruit_A,2022-2023,2,,15.75,7.0,4.77,6.0,,85.4,83.09,76.11,10.3,1.09
MNG-2018-0004,Cross_09,Elite,Hoedspruit_A,2022-2023,1,387.86,13.14,6.0,4.55,7.0,5.0,124.48,116.49,55.31,13.33,2.11
MNG-2018-0004,Cross_09,Elite,Hoedspruit_A,2022-2023,2,377.17,13.5,6.0,4.72,9.0,6.0,126.54,105.53,63.72,11.95,1.66
MNG-2018-0004,Cross_09,Elite,Hoedspruit_A,2022-2023,3,376.84,15.11,6.0,3.71,6.0,7.0,107.39,121.7,69.03,12.6,1.76
MNG-2019-0037,Cross_07,Phase_1,Hoedspruit_A,2022-2023,1,301.54,16.38,3.0,4.3,6.0,9.0,34.76,133.33,72.65,11.62,1.84
MNG-2019-0037,Cross_07,Phase_1,Hoedspruit_A,2022-2023,2,306.96,17.09,5.0,4.71,5.0,8.0,40.66,127.35,78.99,16.44,1.61
MNG-2019-0012,Cross_04,Advanced,Hoedspruit_A,2022-2023,1,404.99,14.5,6.0,3.21,5.0,5.0,108.93,120.3,75.42,11.42,1.6
MNG-2019-0012,Cross_04,Advanced,Hoedspruit_A,2022-2023,2,,15.29,4.0,3.17,4.0,7.0,111.24,124.5,81.63,12.81,1.53
MNG-2019-0012,Cross_04,Advanced,Hoedspruit_A,2022-2023,3,383.65,15.93,4.0,3.63,6.0,5.0,81.13,119.43,78.99,10.27,1.51
MNG-2021-0007,Cross_02,Seedling,Hoedspruit_A,2022-2023,1,331.66,17.46,4.0,3.67,5.0,5.0,49.78,87.17,73.1,13.54,1.19
MNG-2021-0007,Cross_02,Seedling,Hoedspruit_A,2022-2023,2,361.02,16.49,3.0,2.77,4.0,6.0,46.47,97.47,63.3,17.0,1.54
MNG-2021-0007,Cross_02,Seedling,Hoedspruit_A,2022-2023,3,391.37,16.94,5.0,3.3,4.0,5.0,51.56,106.49,68.66,15.14,1.55
MNG-2020-0019,Cross_13,Seedling,Hoedspruit_A,2022-2023,1,385.9,18.39,6.0,6.38,5.0,6.0,50.87,117.63,66.47,19.74,1.77
MNG-2020-0019,Cross_13,Seedling,Hoedspruit_A,2022-2023,2,356.73,17.85,8.0,6.94,5.0,6.0,61.45,101.93,73.28,16.6,1.39
MNG-2020-0019,Cross_13,Seedling,Hoedspruit_A,2022-2023,3,327.96,15.58,7.0,6.31,3.0,7.0,69.88,108.84,76.01,16.57,1.43
MNG-2019-0034,Cross_03,Advanced,Hoedspruit_A,2022-2023,1,301.53,18.98,6.0,3.22,7.0,6.0,26.44,103.27,56.85,14.86,1.82
MNG-2019-0034,Cross_03,Advanced,Hoedspruit_A,2022-2023,2,341.34,16.37,6.0,4.64,5.0,6.0,39.87,108.5,65.11,16.15,1.67
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2022-2023,1,357.21,14.48,5.0,5.66,6.0,6.0,33.74,134.77,80.99,14.98,1.66
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2022-2023,2,345.57,13.69,5.0,5.83,5.0,6.0,44.35,129.89,87.44,15.03,1.49
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2022-2023,3,322.21,14.34,4.0,6.29,3.0,5.0,54.83,121.84,83.03,12.9,1.47
MNG-2022-0015,Cross_14,Phase_2,Hoedspruit_A,2022-2023,1,338.94,13.31,7.0,2.87,6.0,5.0,80.06,98.47,75.1,16.6,1.31
MNG-2022-0015,Cross_14,Phase_2,Hoedspruit_A,2022-2023,2,335.6,15.67,7.0,4.7,7.0,5.0,73.76,122.82,75.48,14.54,1.63
MNG-2019-0039,Cross_12,Advanced,Hoedspruit_A,2022-2023,1,422.06,15.88,5.0,1.89,5.0,4.0,57.63,116.79,91.51,17.59,1.28
MNG-2019-0039,Cross_12,Advanced,Hoedspruit_A,2022-2023,2,349.39,15.37,6.0,3.36,6.0,3.0,75.21,114.66,83.42,17.8,1.37
MNG-2019-0017,Cross_11,Seedling,Hoedspruit_A,2022-2023,1,306.36,17.53,5.0,4.6,7.0,6.0,75.88,103.09,73.63,13.27,1.4
MNG-2019-0017,Cross_11,Seedling,Hoedspruit_A,2022-2023,2,285.15,16.67,6.0,,5.0,5.0,69.61,117.64,78.31,11.49,1.5
MNG-2019-0017,Cross_11,Seedling,Hoedspruit_A,2022-2023,3,300.92,17.6,5.0,4.08,7.0,5.0,72.46,113.45,86.19,15.16,1.32
MNG-2022-0016,Cross_10,Phase_1,Hoedspruit_A,2022-2023,1,337.79,15.76,7.0,5.86,9.0,5.0,42.91,95.6,83.41,13.86,1.15
MNG-2022-0016,Cross_10,Phase_1,Hoedspruit_A,2022-2023,2,286.99,17.24,6.0,4.43,7.0,4.0,52.37,107.97,84.76,14.62,1.27
MNG-2022-0016,Cross_10,Phase_1,Hoedspruit_A,2022-2023,3,312.42,15.71,6.0,4.21,8.0,5.0,47.13,100.28,88.34,14.02,1.14
MNG-2020-0029,Cross_10,Seedling,Hoedspruit_A,2022-2023,1,403.29,19.24,4.0,5.52,6.0,4.0,91.79,111.58,87.29,14.36,1.28
MNG-2020-0029,Cross_10,Seedling,Hoedspruit_A,2022-2023,2,353.75,16.43,4.0,5.08,5.0,4.0,67.32,127.77,78.98,14.49,1.62
MNG-2020-0029,Cross_10,Seedling,Hoedspruit_A,2022-2023,3,351.84,17.09,4.0,5.24,5.0,4.0,78.32,109.66,86.02,14.21,1.27
MNG-2021-0026,Cross_18,Advanced,Hoedspruit_A,2022-2023,1,297.48,16.07,5.0,,6.0,5.0,78.84,95.34,70.83,15.92,1.35
MNG-2021-0026,Cross_18,Advanced,Hoedspruit_A,2022-2023,2,333.88,14.96,5.0,7.57,5.0,5.0,92.59,101.76,76.21,13.46,1.34
MNG-2019-0005,Cross_02,Phase_1,Hoedspruit_A,2022-2023,1,317.16,14.63,6.0,4.66,6.0,5.0,89.75,104.76,87.89,16.15,1.19
MNG-2021-0035,Cross_09,Seedling,Hoedspruit_A,2022-2023,1,304.63,16.01,6.0,3.53,5.0,5.0,83.95,107.58,77.85,10.72,1.38
MNG-2021-0035,Cross_09,Seedling,Hoedspruit_A,2022-2023,2,306.78,14.74,7.0,3.79,4.0,6.0,72.1,112.79,78.63,11.78,1.43
MNG-2021-0035,Cross_09,Seedling,Hoedspruit_A,2022-2023,3,320.42,15.64,6.0,3.91,4.0,5.0,86.21,125.55,81.68,12.93,1.54
MNG-2019-0024,Cross_20,Seedling,Hoedspruit_A,2022-2023,1,409.79,12.63,6.0,3.36,4.0,4.0,77.42,,76.69,16.51,
MNG-2019-0024,Cross_20,Seedling,Hoedspruit_A,2022-2023,2,394.33,11.99,5.0,4.01,7.0,6.0,104.72,125.76,78.63,13.83,1.6
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2022-2023,1,343.6,17.8,6.0,4.81,5.0,7.0,62.95,105.87,73.05,10.99,1.45
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2022-2023,2,355.2,15.04,7.0,5.65,5.0,8.0,64.42,99.62,67.98,13.67,1.47
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2022-2023,3,340.92,18.35,6.0,4.7,5.0,6.0,68.79,116.16,68.57,12.56,1.69
MNG-2019-0036,Cross_10,Seedling,Hoedspruit_A,2022-2023,1,349.15,16.79,4.0,,6.0,5.0,61.38,99.51,75.38,15.57,1.32
MNG-2019-0036,Cross_10,Seedling,Hoedspruit_A,2022-2023,2,,16.69,5.0,4.71,5.0,5.0,51.95,105.0,76.54,17.84,1.37
MNG-2019-0013,Cross_08,Seedling,Hoedspruit_A,2022-2023,1,341.53,16.03,5.0,2.08,5.0,5.0,54.76,114.59,73.79,14.62,1.55
MNG-2019-0013,Cross_08,Seedling,Hoedspruit_A,2022-2023,2,312.32,15.56,7.0,3.74,5.0,6.0,61.9,116.89,71.83,17.15,1.63
MNG-2019-0013,Cross_08,Seedling,Hoedspruit_A,2022-2023,3,295.53,15.47,7.0,3.84,6.0,5.0,47.4,113.01,69.41,12.75,1.63
MNG-2018-0026,Cross_13,Phase_1,Hoedspruit_A,2022-2023,2,233.89,14.04,3.0,3.15,5.0,5.0,84.72,111.31,78.8,13.84,1.41
MNG-2018-0026,Cross_13,Phase_1,Hoedspruit_A,2022-2023,3,286.08,14.77,3.0,3.72,4.0,4.0,53.89,108.74,83.87,13.21,1.3
MNG-2022-0010,Cross_01,Seedling,Hoedspruit_A,2022-2023,1,347.65,15.46,5.0,3.54,5.0,5.0,64.91,121.81,78.25,12.78,1.56
MNG-2022-0010,Cross_01,Seedling,Hoedspruit_A,2022-2023,2,419.03,17.27,6.0,5.23,5.0,6.0,54.07,106.33,83.38,12.79,1.28
MNG-2022-0028,Cross_08,Phase_1,Hoedspruit_A,2022-2023,1,368.76,13.58,4.0,2.84,6.0,5.0,72.16,107.9,98.0,12.21,1.1
MNG-2022-0028,Cross_08,Phase_1,Hoedspruit_A,2022-2023,2,348.29,14.84,4.0,2.88,8.0,6.0,93.98,120.94,95.22,10.37,1.27
MNG-2020-0025,Cross_16,Seedling,Hoedspruit_A,2022-2023,1,330.47,16.2,4.0,4.17,6.0,5.0,71.35,137.72,72.48,16.16,1.9
MNG-2020-0025,Cross_16,Seedling,Hoedspruit_A,2022-2023,2,328.98,16.96,4.0,2.43,8.0,6.0,90.33,134.82,83.34,16.07,1.62
MNG-2018-0028,Cross_17,Seedling,Hoedspruit_A,2022-2023,1,300.38,14.3,7.0,3.66,5.0,5.0,66.82,122.2,80.73,14.63,1.51
MNG-2018-0028,Cross_17,Seedling,Hoedspruit_A,2022-2023,2,307.57,12.36,5.0,5.68,5.0,5.0,99.89,119.19,86.18,12.76,1.38
MNG-2021-0028,Cross_05,Phase_1,Hoedspruit_A,2022-2023,1,308.1,16.79,4.0,4.66,4.0,6.0,46.04,110.4,68.06,16.95,1.62
MNG-2021-0028,Cross_05,Phase_1,Hoedspruit_A,2022-2023,2,292.05,15.0,3.0,2.64,4.0,3.0,51.35,116.91,72.67,15.62,1.61
MNG-2022-0039,Cross_07,Phase_2,Hoedspruit_A,2022-2023,1,258.55,14.47,7.0,2.58,6.0,6.0,67.83,68.72,64.3,19.1,1.07
MNG-2022-0039,Cross_07,Phase_2,Hoedspruit_A,2022-2023,2,316.14,12.38,,3.08,6.0,6.0,93.42,66.87,64.53,15.85,1.04
MNG-2018-0036,Cross_02,Seedling,Hoedspruit_A,2022-2023,1,384.64,16.68,4.0,,9.0,6.0,50.8,111.37,85.03,9.33,1.31
MNG-2018-0036,Cross_02,Seedling,Hoedspruit_A,2022-2023,2,347.94,15.65,5.0,4.79,8.0,5.0,65.36,114.2,77.63,10.05,1.47
MNG-2019-0029,Cross_02,Phase_1,Hoedspruit_A,2022-2023,1,421.67,15.21,5.0,4.64,5.0,6.0,55.13,100.77,81.58,14.47,1.24
MNG-2019-0029,Cross_02,Phase_1,Hoedspruit_A,2022-2023,2,340.9,15.01,6.0,3.69,8.0,7.0,60.69,102.92,94.84,9.2,1.09
MNG-2020-0036,Cross_12,Phase_2,Hoedspruit_A,2022-2023,1,312.07,16.34,5.0,5.49,3.0,6.0,72.53,115.54,81.05,16.89,1.43
MNG-2020-0036,Cross_12,Phase_2,Hoedspruit_A,2022-2023,2,304.05,17.92,5.0,4.92,3.0,7.0,92.18,107.5,96.94,17.01,1.11
MNG-2020-0038,Cross_03,Seedling,Hoedspruit_A,2022-2023,1,350.62,16.01,6.0,2.86,3.0,6.0,90.34,95.25,57.97,10.06,1.64
MNG-2020-0038,Cross_03,Seedling,Hoedspruit_A,2022-2023,2,358.16,17.22,7.0,2.26,4.0,6.0,85.42,106.23,77.89,10.93,1.36
MNG-2021-0010,Cross_13,Seedling,Hoedspruit_A,2022-2023,1,250.86,14.69,7.0,3.41,5.0,,60.98,79.09,54.04,17.29,1.46
MNG-2021-0010,Cross_13,Seedling,Hoedspruit_A,2022-2023,2,238.33,16.37,6.0,3.77,7.0,6.0,58.18,82.71,58.79,17.77,1.41
MNG-2021-0010,Cross_13,Seedling,Hoedspruit_A,2022-2023,3,216.69,16.15,8.0,4.57,,4.0,76.42,96.93,50.6,16.31,1.92
MNG-2021-0033,Cross_19,Phase_1,Hoedspruit_A,2022-2023,1,359.6,16.05,4.0,2.06,6.0,5.0,83.43,97.78,74.96,14.43,1.3
MNG-2021-0033,Cross_19,Phase_1,Hoedspruit_A,2022-2023,2,335.57,17.08,5.0,1.81,6.0,5.0,89.29,103.02,86.36,14.87,1.19
MNG-2022-0019,Cross_19,Advanced,Hoedspruit_A,2022-2023,1,344.28,14.78,5.0,2.39,3.0,5.0,77.5,100.45,80.66,11.54,1.25
MNG-2022-0019,Cross_19,Advanced,Hoedspruit_A,2022-2023,2,367.8,15.4,6.0,2.47,2.0,6.0,83.82,86.32,76.23,14.75,1.13
MNG-2018-0006,Cross_18,Phase_2,Hoedspruit_A,2022-2023,1,344.1,15.86,4.0,3.58,5.0,6.0,98.99,89.43,78.74,13.62,1.14
MNG-2018-0006,Cross_18,Phase_2,Hoedspruit_A,2022-2023,2,377.78,17.34,4.0,,6.0,6.0,87.58,83.28,75.15,11.99,1.11
MNG-2019-0027,Cross_19,Advanced,Hoedspruit_A,2022-2023,1,330.32,9.85,4.0,,6.0,4.0,62.53,130.06,73.04,19.02,1.78
MNG-2019-0027,Cross_19,Advanced,Hoedspruit_A,2022-2023,2,338.51,8.5,5.0,5.61,6.0,5.0,52.34,125.14,77.68,17.02,1.61
MNG-2021-0009,Cross_12,Phase_2,Hoedspruit_A,2022-2023,1,410.21,13.08,6.0,3.76,7.0,5.0,64.9,,74.15,15.49,
MNG-2021-0009,Cross_12,Phase_2,Hoedspruit_A,2022-2023,2,361.4,12.65,7.0,4.5,5.0,6.0,45.55,89.28,80.63,16.45,1.11
MNG-2021-0022,Cross_05,Phase_2,Hoedspruit_A,2022-2023,1,279.47,15.38,5.0,3.2,5.0,3.0,62.44,141.93,74.38,16.96,1.91
MNG-2021-0022,Cross_05,Phase_2,Hoedspruit_A,2022-2023,2,308.97,15.08,5.0,2.13,4.0,4.0,72.28,123.14,85.53,14.38,1.44
MNG-2022-0018,Cross_04,Phase_1,Hoedspruit_A,2022-2023,1,364.22,15.44,3.0,,5.0,6.0,71.73,105.91,80.49,14.7,1.32
MNG-2022-0018,Cross_04,Phase_1,Hoedspruit_A,2022-2023,2,349.98,13.6,4.0,6.44,5.0,5.0,54.74,103.17,87.62,13.11,1.18
MNG-2022-0018,Cross_04,Phase_1,Hoedspruit_A,2022-2023,3,303.2,14.61,4.0,4.88,6.0,6.0,66.68,103.74,77.78,17.0,1.33
MNG-2020-0039,Cross_05,Advanced,Hoedspruit_A,2022-2023,1,297.44,12.15,5.0,6.13,5.0,3.0,74.82,105.37,103.32,12.26,1.02
MNG-2020-0039,Cross_05,Advanced,Hoedspruit_A,2022-2023,2,262.74,12.53,6.0,5.92,5.0,2.0,64.04,113.8,97.72,8.32,1.16
MNG-2020-0016,Cross_06,Seedling,Hoedspruit_A,2022-2023,1,351.95,16.92,6.0,3.21,6.0,6.0,98.61,111.19,75.21,,1.48
MNG-2020-0016,Cross_06,Seedling,Hoedspruit_A,2022-2023,2,370.38,17.56,8.0,4.26,7.0,5.0,83.47,107.57,80.07,12.38,1.34
MNG-2020-0016,Cross_06,Seedling,Hoedspruit_A,2022-2023,3,376.92,17.7,7.0,4.41,8.0,5.0,96.85,116.53,78.68,10.86,1.48
MNG-2018-0020,Cross_10,Phase_2,Hoedspruit_A,2022-2023,1,342.89,20.1,5.0,6.27,5.0,7.0,,112.03,71.48,14.66,1.57
MNG-2018-0020,Cross_10,Phase_2,Hoedspruit_A,2022-2023,2,382.54,20.44,5.0,5.92,6.0,6.0,74.74,105.86,78.7,14.48,1.35
MNG-2022-0033,Cross_13,Advanced,Hoedspruit_A,2022-2023,1,346.7,15.06,7.0,5.19,6.0,6.0,53.01,110.18,80.28,14.68,1.37
MNG-2022-0033,Cross_13,Advanced,Hoedspruit_A,2022-2023,2,387.52,15.38,6.0,6.18,7.0,7.0,72.28,114.66,69.87,15.24,1.64
MNG-2022-0033,Cross_13,Advanced,Hoedspruit_A,2022-2023,3,382.12,14.56,7.0,4.9,7.0,6.0,48.54,101.6,75.14,,1.35
MNG-2020-0028,Cross_14,Phase_2,Hoedspruit_A,2022-2023,1,341.65,16.09,4.0,6.21,3.0,7.0,60.91,99.53,72.11,,1.38
MNG-2020-0028,Cross_14,Phase_2,Hoedspruit_A,2022-2023,2,322.56,15.48,6.0,5.95,2.0,6.0,57.55,116.97,64.06,15.86,1.83
MNG-2020-0028,Cross_14,Phase_2,Hoedspruit_A,2022-2023,3,343.4,16.76,4.0,5.12,3.0,7.0,62.16,117.59,66.52,15.02,1.77
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2022-2023,1,330.69,14.72,5.0,4.18,5.0,4.0,64.6,104.73,75.64,12.66,1.38
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2022-2023,2,347.96,,5.0,3.67,4.0,5.0,59.69,98.71,81.25,12.6,1.21
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2022-2023,3,388.24,16.71,4.0,4.06,4.0,5.0,73.57,85.35,82.64,12.37,1.03
MNG-2022-0035,Cross_20,Advanced,Hoedspruit_A,2022-2023,1,446.01,15.89,7.0,1.81,4.0,7.0,49.92,98.19,85.2,12.99,1.15
MNG-2022-0035,Cross_20,Advanced,Hoedspruit_A,2022-2023,2,433.73,15.11,6.0,3.18,4.0,6.0,55.05,104.87,79.58,11.93,1.32
MNG-2022-0035,Cross_20,Advanced,Hoedspruit_A,2022-2023,3,421.55,16.83,6.0,3.45,3.0,7.0,83.73,100.11,75.26,14.42,1.33
MNG-2018-0007,Cross_02,Phase_1,Hoedspruit_A,2022-2023,1,245.56,19.88,7.0,5.87,2.0,7.0,100.08,97.76,88.62,11.56,1.1
MNG-2018-0007,Cross_02,Phase_1,Hoedspruit_A,2022-2023,2,249.6,18.51,6.0,4.83,3.0,6.0,98.02,108.94,84.89,15.02,1.28
MNG-2022-0003,Cross_09,Phase_1,Hoedspruit_A,2022-2023,1,311.34,16.31,4.0,3.66,6.0,3.0,92.63,64.47,80.73,16.95,0.8
MNG-2022-0003,Cross_09,Phase_1,Hoedspruit_A,2022-2023,2,315.82,17.58,6.0,4.53,4.0,4.0,96.63,73.02,75.23,14.86,0.97
MNG-2019-0016,Cross_01,Phase_2,Hoedspruit_A,2022-2023,1,412.73,13.54,7.0,4.97,7.0,5.0,78.87,100.41,109.17,12.47,0.92
MNG-2019-0016,Cross_01,Phase_2,Hoedspruit_A,2022-2023,2,405.24,13.22,8.0,5.04,8.0,6.0,86.04,101.88,102.78,16.19,0.99
MNG-2019-0016,Cross_01,Phase_2,Hoedspruit_A,2022-2023,3,385.12,14.13,8.0,5.93,7.0,5.0,72.49,111.65,109.45,15.62,1.02
MNG-2022-0034,Cross_08,Seedling,Hoedspruit_A,2022-2023,1,319.84,14.01,5.0,2.45,5.0,5.0,47.93,118.7,76.99,13.67,1.54
MNG-2022-0034,Cross_08,Seedling,Hoedspruit_A,2022-2023,2,311.79,12.13,5.0,3.77,5.0,4.0,49.58,124.06,82.07,16.32,1.51
MNG-2022-0034,Cross_08,Seedling,Hoedspruit_A,2022-2023,3,311.36,13.13,,3.13,6.0,6.0,49.82,112.27,75.15,12.19,1.49
MNG-2019-0020,Cross_14,Phase_2,Hoedspruit_A,2022-2023,1,335.62,14.93,6.0,6.34,4.0,5.0,65.41,116.01,83.75,14.31,1.39
MNG-2019-0020,Cross_14,Phase_2,Hoedspruit_A,2022-2023,2,365.32,16.53,6.0,4.18,5.0,6.0,,111.62,93.51,12.17,1.19
MNG-2022-0025,Cross_10,Phase_1,Hoedspruit_A,2022-2023,1,346.81,17.37,7.0,8.39,4.0,7.0,58.11,103.96,82.87,16.34,1.25
MNG-2022-0025,Cross_10,Phase_1,Hoedspruit_A,2022-2023,3,351.21,18.97,6.0,7.51,6.0,6.0,65.9,104.19,82.25,15.33,1.27
