genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance_score,tree_vigor_score,yield_kg_per_tree,days_to_maturity,fruit_length_mm,fruit_width_mm
MNG-2018-0016,mango,Hoedspruit_A,2025-2026,1,B4,9,4,2026-02-27,TM_01,348.85,14.62,4.0,3.17,6.0,8.0,69.65,150.8,93.96,74.97
MNG-2018-0016,mango,Hoedspruit_A,2025-2026,2,B2,15,1,2026-01-25,TM_03,322.43,15.3,2.0,4.44,6.0,7.0,108.62,142.22,100.32,68.64
MNG-2018-0016,mango,Hoedspruit_A,2025-2026,3,B4,10,3,2026-02-17,TM_03,379.07,14.9,4.0,4.31,4.0,7.0,80.32,156.28,95.8,70.92
MNG-2018-0017,mango,Hoedspruit_A,2025-2026,1,B3,1,19,2026-02-11,TM_02,318.22,16.08,7.0,3.69,7.0,4.0,104.08,145.79,102.97,75.41
MNG-2018-0017,mango,Hoedspruit_A,2025-2026,2,B1,4,13,2026-01-25,JN_01,361.45,13.59,9.0,2.69,7.0,5.0,113.08,130.13,107.29,79.02
MNG-2018-0017,mango,Hoedspruit_A,2025-2026,3,B3,7,24,2026-02-27,TM_02,297.26,15.32,8.0,3.57,7.0,5.0,105.88,143.16,106.45,81.82
MNG-2018-0018,mango,Hoedspruit_A,2025-2026,1,B2,3,4,2026-01-27,TM_01,315.81,17.08,6.0,3.16,2.0,6.0,134.04,139.85,96.21,
MNG-2018-0018,mango,Hoedspruit_A,2025-2026,2,B3,19,6,2026-03-02,JN_01,262.18,17.82,4.0,2.86,2.0,7.0,137.62,132.28,115.07,87.07
MNG-2018-0018,mango,Hoedspruit_A,2025-2026,3,B4,10,19,2026-03-07,TM_03,299.44,19.07,5.0,1.36,3.0,5.0,104.06,146.65,97.04,81.8
MNG-2018-0019,mango,Hoedspruit_A,2025-2026,1,B1,12,13,2026-01-15,TM_02,459.09,16.97,7.0,6.54,5.0,7.0,94.1,133.61,95.65,93.06
MNG-2018-0019,mango,Hoedspruit_A,2025-2026,2,B2,19,20,2026-03-02,JN_01,366.94,18.5,4.0,6.37,5.0,,98.56,132.03,90.32,101.27
MNG-2018-0019,mango,Hoedspruit_A,2025-2026,3,B1,11,13,2026-03-15,TM_02,425.13,19.54,4.0,6.59,5.0,8.0,85.0,136.1,85.99,86.95
MNG-2018-0020,mango,Hoedspruit_A,2025-2026,1,B3,1,17,2026-02-21,TM_01,438.56,16.29,,6.95,4.0,4.0,96.13,143.21,118.5,81.86
MNG-2018-0020,mango,Hoedspruit_A,2025-2026,2,B2,5,18,2026-03-01,JN_01,420.81,16.46,6.0,6.6,4.0,6.0,98.54,131.89,116.97,79.08
MNG-2018-0020,mango,Hoedspruit_A,2025-2026,3,B1,18,1,2026-01-16,JN_01,417.85,14.7,4.0,7.11,3.0,4.0,114.56,455.17,106.63,79.66
MNG-2018-0021,mango,Hoedspruit_A,2025-2026,1,B3,11,5,2026-03-14,TM_03,382.44,18.4,6.0,6.38,1.0,7.0,87.8,140.81,98.79,87.79
MNG-2018-0021,mango,Hoedspruit_A,2025-2026,2,B4,13,16,2026-01-24,TM_01,357.68,19.22,5.0,5.29,4.0,6.0,91.01,126.06,86.48,81.07
MNG-2018-0021,mango,Hoedspruit_A,2025-2026,3,B2,8,17,2026-01-26,TM_03,391.33,20.49,5.0,6.79,4.0,6.0,80.77,124.14,83.26,74.11
MNG-2018-0022,mango,Hoedspruit_A,2025-2026,1,B4,13,13,2026-02-05,TM_03,404.28,14.83,7.0,4.72,5.0,7.0,96.3,143.07,110.85,57.12
MNG-2018-0022,mango,Hoedspruit_A,2025-2026,2,B1,1,3,2026-02-14,TM_03,338.15,13.57,6.0,3.65,4.0,8.0,106.15,150.14,115.09,71.68
MNG-2018-0022,mango,Hoedspruit_A,2025-2026,3,B4,13,9,2026-01-22,TM_02,371.54,14.45,5.0,3.3,3.0,5.0,87.39,149.56,106.04,71.0
MNG-2018-0023,mango,Hoedspruit_A,2025-2026,1,B3,1,1,2026-03-04,TM_02,397.04,16.29,6.0,1.65,5.0,5.0,159.75,171.39,95.31,71.05
MNG-2018-0023,mango,Hoedspruit_A,2025-2026,2,B1,15,21,2026-01-18,TM_03,355.99,15.67,7.0,2.16,6.0,7.0,144.65,160.33,103.55,77.69
MNG-2018-0023,mango,Hoedspruit_A,2025-2026,3,B1,4,14,2026-03-13,TM_03,342.48,18.27,5.0,2.36,7.0,5.0,124.86,179.83,115.9,71.5
MNG-2018-0024,mango,Hoedspruit_A,2025-2026,1,B3,1,28,2026-03-11,JN_01,298.29,14.75,7.0,5.72,3.0,5.0,49.55,136.07,94.12,
MNG-2018-0024,mango,Hoedspruit_A,2025-2026,2,B3,2,16,2026-03-10,TM_03,266.61,13.55,6.0,7.93,3.0,6.0,47.62,147.54,93.5,79.91
MNG-2018-0024,mango,Hoedspruit_A,2025-2026,3,B4,12,12,2026-02-10,JN_01,309.76,15.86,6.0,6.42,3.0,4.0,37.12,144.77,100.66,80.46
MNG-2018-0025,mango,Hoedspruit_A,2025-2026,1,B2,19,5,2026-01-15,TM_02,332.3,17.7,5.0,2.3,9.0,4.0,68.1,160.71,144.1,62.69
MNG-2018-0025,mango,Hoedspruit_A,2025-2026,2,B1,9,21,2026-03-07,TM_03,287.36,16.29,2.0,1.73,8.0,5.0,68.93,155.03,148.77,65.93
MNG-2018-0025,mango,Hoedspruit_A,2025-2026,3,B3,1,15,2026-01-31,TM_03,314.22,15.09,3.0,2.55,8.0,3.0,,184.05,147.99,62.1
MNG-2018-0026,mango,Hoedspruit_A,2025-2026,1,B2,3,25,2026-03-13,TM_03,1009.62,20.14,9.0,4.29,4.0,6.0,94.24,126.07,120.41,65.91
MNG-2018-0026,mango,Hoedspruit_A,2025-2026,2,B2,11,12,2026-03-15,TM_03,297.5,16.86,7.0,3.91,4.0,6.0,90.51,131.29,107.47,67.18
MNG-2018-0026,mango,Hoedspruit_A,2025-2026,3,B2,1,18,2026-02-24,JN_01,320.95,17.34,8.0,2.24,3.0,7.0,111.87,127.44,97.98,65.2
MNG-2019-0001,mango,Hoedspruit_A,2025-2026,1,B3,18,21,2026-01-29,TM_01,319.98,15.11,4.0,1.74,6.0,6.0,83.11,173.61,96.25,83.17
MNG-2019-0001,mango,Hoedspruit_A,2025-2026,2,B1,4,15,2026-02-24,TM_02,374.82,16.8,5.0,3.09,5.0,6.0,92.06,147.26,111.71,83.65
MNG-2019-0001,mango,Hoedspruit_A,2025-2026,3,B4,18,14,2026-02-26,TM_02,361.7,17.84,6.0,3.4,6.0,7.0,83.12,131.66,112.69,70.92
MNG-2019-0002,mango,Hoedspruit_A,2025-2026,1,B3,7,5,2026-02-13,TM_03,295.96,16.42,,,6.0,7.0,83.71,127.07,134.12,90.86
MNG-2019-0002,mango,Hoedspruit_A,2025-2026,2,B4,12,29,2026-01-17,JN_01,334.57,16.4,5.0,7.88,7.0,6.0,70.42,115.57,146.75,71.32
MNG-2019-0002,mango,Hoedspruit_A,2025-2026,3,B2,9,28,2026-03-07,TM_03,333.18,15.69,5.0,7.51,8.0,6.0,56.42,127.2,138.77,79.57
MNG-2019-0003,mango,Hoedspruit_A,2025-2026,1,B1,9,11,2026-02-01,TM_03,412.06,13.63,6.0,4.3,5.0,4.0,84.25,132.01,104.53,88.09
MNG-2019-0003,mango,Hoedspruit_A,2025-2026,2,B1,2,29,2026-01-27,JN_01,372.72,12.5,6.0,5.41,4.0,4.0,110.59,128.7,109.0,80.58
MNG-2019-0003,mango,Hoedspruit_A,2025-2026,3,B4,3,3,2026-03-03,TM_03,400.71,13.45,8.0,5.97,1.0,5.0,73.59,135.73,92.62,64.65
MNG-2019-0004,mango,Hoedspruit_A,2025-2026,1,B2,16,16,2026-02-07,TM_01,332.38,17.23,7.0,-1.1,4.0,5.0,103.53,123.25,78.9,90.58
MNG-2019-0004,mango,Hoedspruit_A,2025-2026,2,B3,19,27,2026-03-09,TM_01,346.19,16.96,,0.83,6.0,5.0,93.21,141.18,74.91,86.46
MNG-2019-0004,mango,Hoedspruit_A,2025-2026,3,B2,9,10,2026-03-15,TM_03,371.12,16.75,7.0,0.71,3.0,5.0,97.35,145.7,84.34,83.93
MNG-2019-0005,mango,Hoedspruit_A,2025-2026,1,B3,15,15,2026-02-09,TM_03,429.2,12.82,7.0,2.92,7.0,5.0,90.61,143.93,117.13,96.3
MNG-2019-0005,mango,Hoedspruit_A,2025-2026,2,B2,13,11,2026-03-09,TM_02,379.07,12.74,8.0,,5.0,3.0,103.65,171.35,118.94,
MNG-2019-0005,mango,Hoedspruit_A,2025-2026,3,B2,6,2,2026-03-15,TM_02,423.89,15.35,8.0,3.9,4.0,4.0,99.16,158.63,107.13,108.92
MNG-2019-0006,mango,Hoedspruit_A,2025-2026,1,B2,19,27,2026-03-03,TM_02,438.07,17.27,7.0,4.27,6.0,4.0,72.98,120.5,130.28,72.95
MNG-2019-0006,mango,Hoedspruit_A,2025-2026,2,B1,3,17,2026-03-11,TM_03,423.14,17.12,9.0,5.03,6.0,5.0,97.93,124.48,124.37,70.47
MNG-2019-0006,mango,Hoedspruit_A,2025-2026,3,B3,15,18,2026-01-29,TM_01,417.48,17.95,8.0,4.48,6.0,7.0,105.82,141.04,119.29,62.02
MNG-2019-0007,mango,Hoedspruit_A,2025-2026,1,B2,10,29,2026-03-03,JN_01,326.85,15.44,6.0,6.5,8.0,6.0,56.57,131.28,96.19,86.81
MNG-2019-0007,mango,Hoedspruit_A,2025-2026,2,B2,2,24,2026-02-21,TM_02,337.37,15.4,7.0,6.07,7.0,7.0,69.16,145.04,87.77,67.17
MNG-2019-0007,mango,Hoedspruit_A,2025-2026,3,B1,14,20,2026-03-08,JN_01,383.51,17.12,8.0,5.38,8.0,6.0,78.96,127.32,87.37,75.55
MNG-2019-0008,mango,Hoedspruit_A,2025-2026,1,B3,11,7,2026-02-11,JN_01,401.78,17.01,3.0,2.82,6.0,3.0,80.28,143.53,143.8,82.28
MNG-2019-0008,mango,Hoedspruit_A,2025-2026,2,B1,14,1,2026-02-11,JN_01,406.48,17.19,4.0,4.36,7.0,4.0,80.41,153.23,125.53,89.79
MNG-2019-0008,mango,Hoedspruit_A,2025-2026,3,B3,6,7,2026-02-07,JN_01,370.05,18.18,5.0,2.64,5.0,5.0,92.94,150.34,119.64,79.6
MNG-2019-0009,mango,Hoedspruit_A,2025-2026,1,B3,10,3,2026-02-07,TM_01,232.14,16.96,6.0,4.75,9.0,4.0,81.82,143.67,80.23,94.83
MNG-2019-0009,mango,Hoedspruit_A,2025-2026,3,B1,13,20,2026-01-17,TM_03,256.83,17.82,5.0,5.33,9.0,3.0,69.1,148.95,93.89,103.45
MNG-2019-0010,mango,Hoedspruit_A,2025-2026,1,B1,2,1,2026-02-08,JN_01,361.7,18.75,5.0,6.28,6.0,6.0,101.42,144.48,98.28,79.05
MNG-2019-0010,mango,Hoedspruit_A,2025-2026,2,B4,14,12,2026-01-17,TM_01,390.77,16.19,6.0,5.85,6.0,6.0,96.82,150.44,113.04,72.53
MNG-2019-0010,mango,Hoedspruit_A,2025-2026,3,B3,6,3,2026-01-29,JN_01,309.89,17.16,5.0,6.0,6.0,7.0,87.82,142.99,90.88,68.39
MNG-2019-0011,mango,Hoedspruit_A,2025-2026,1,B2,17,9,2026-03-06,TM_01,404.75,17.71,6.0,3.05,3.0,7.0,96.62,139.66,121.96,86.39
MNG-2019-0011,mango,Hoedspruit_A,2025-2026,2,B3,9,15,2026-03-09,JN_01,351.04,18.59,9.0,2.38,4.0,6.0,75.25,124.59,112.09,90.27
MNG-2019-0011,mango,Hoedspruit_A,2025-2026,3,B2,8,28,2026-02-03,TM_03,352.86,17.49,8.0,2.95,5.0,6.0,90.99,118.32,110.42,78.75
MNG-2019-0012,mango,Hoedspruit_A,2025-2026,1,B1,16,2,2026-01-24,JN_01,359.45,19.87,6.0,6.86,5.0,8.0,82.34,124.67,117.76,73.93
MNG-2019-0012,mango,Hoedspruit_A,2025-2026,2,B2,12,17,2026-03-05,JN_01,382.86,,1.0,5.49,7.0,8.0,84.28,137.87,137.8,73.61
MNG-2019-0012,mango,Hoedspruit_A,2025-2026,3,B4,6,26,2026-02-16,JN_01,373.45,19.72,7.0,5.65,6.0,8.0,101.49,118.54,129.6,79.53
MNG-2019-0013,mango,Hoedspruit_A,2025-2026,1,B1,10,24,2026-03-01,TM_03,365.71,20.14,4.0,1.96,4.0,3.0,94.16,148.15,107.54,70.42
MNG-2019-0013,mango,Hoedspruit_A,2025-2026,2,B2,9,12,2026-03-08,TM_01,384.44,18.3,4.0,2.35,3.0,6.0,81.03,140.05,121.77,67.44
MNG-2019-0013,mango,Hoedspruit_A,2025-2026,3,B1,1,3,2026-03-10,JN_01,373.32,18.85,4.0,3.19,3.0,5.0,98.58,145.19,107.31,61.79
MNG-2019-0014,mango,Hoedspruit_A,2025-2026,1,B4,13,23,2026-03-03,JN_01,255.79,16.05,3.0,5.79,5.0,6.0,137.39,143.16,125.99,73.92
MNG-2019-0014,mango,Hoedspruit_A,2025-2026,2,B2,11,4,2026-01-31,TM_01,274.39,16.48,5.0,6.55,5.0,6.0,110.12,137.28,128.98,82.21
MNG-2019-0014,mango,Hoedspruit_A,2025-2026,3,B1,7,8,2026-02-08,TM_03,312.89,17.12,5.0,6.63,7.0,6.0,,,100.3,
MNG-2019-0015,mango,Hoedspruit_A,2025-2026,1,B2,5,29,2026-02-16,TM_02,341.39,17.25,6.0,4.61,6.0,5.0,91.77,157.55,67.57,
MNG-2019-0015,mango,Hoedspruit_A,2025-2026,2,B2,9,21,2026-02-15,TM_03,362.3,16.72,5.0,3.01,5.0,,96.13,136.67,75.81,70.34
MNG-2019-0015,mango,Hoedspruit_A,2025-2026,3,B2,6,29,2026-02-04,TM_03,361.72,15.65,6.0,3.39,6.0,4.0,,150.36,81.19,60.86
MNG-2019-0016,mango,Hoedspruit_A,2025-2026,1,B3,7,28,2026-03-10,TM_01,266.02,11.94,4.0,6.09,4.0,6.0,135.78,143.31,109.88,92.76
MNG-2019-0016,mango,Hoedspruit_A,2025-2026,2,B4,3,1,2026-01-29,TM_02,297.28,,5.0,4.03,5.0,6.0,87.98,160.8,111.94,96.94
MNG-2019-0016,mango,Hoedspruit_A,2025-2026,3,B3,14,21,2026-02-15,TM_03,324.26,12.09,4.0,5.32,4.0,7.0,125.58,170.42,106.31,96.5
MNG-2019-0017,mango,Hoedspruit_A,2025-2026,1,B2,13,13,2026-01-28,TM_03,338.08,14.51,6.0,2.89,3.0,5.0,112.46,164.1,93.69,73.65
MNG-2019-0017,mango,Hoedspruit_A,2025-2026,2,B3,4,2,2026-02-25,JN_01,320.6,14.7,5.0,0.75,4.0,5.0,110.0,158.16,91.96,92.03
MNG-2019-0017,mango,Hoedspruit_A,2025-2026,3,B1,1,5,2026-03-02,TM_03,345.52,16.0,5.0,2.59,4.0,4.0,102.7,154.07,93.85,77.63
MNG-2019-0018,mango,Hoedspruit_A,2025-2026,1,B4,12,9,2026-02-05,TM_01,345.25,18.27,,1.89,6.0,4.0,68.2,128.63,98.95,75.51
MNG-2019-0018,mango,Hoedspruit_A,2025-2026,2,B4,12,18,2026-01-29,TM_01,270.01,19.37,5.0,2.81,6.0,5.0,74.61,114.57,100.83,83.0
MNG-2019-0018,mango,Hoedspruit_A,2025-2026,3,B2,6,8,2026-01-31,TM_03,301.5,15.35,6.0,1.2,5.0,5.0,98.77,126.7,111.2,96.7
MNG-2019-0019,mango,Hoedspruit_A,2025-2026,1,B4,4,16,2026-02-04,TM_03,,17.81,5.0,4.95,5.0,5.0,130.67,,132.75,78.69
MNG-2019-0019,mango,Hoedspruit_A,2025-2026,2,B3,8,25,2026-02-01,JN_01,366.14,16.78,6.0,7.57,5.0,4.0,151.88,133.9,128.58,93.64
MNG-2019-0019,mango,Hoedspruit_A,2025-2026,3,B3,7,11,2026-03-06,TM_03,359.47,18.36,7.0,6.3,5.0,5.0,94.78,130.39,121.43,86.24
MNG-2019-0020,mango,Hoedspruit_A,2025-2026,1,B2,2,12,2026-01-23,TM_03,371.49,18.75,8.0,9.64,5.0,6.0,106.94,,106.4,76.61
MNG-2019-0020,mango,Hoedspruit_A,2025-2026,2,B1,19,15,2026-03-10,TM_03,338.81,17.43,7.0,8.45,4.0,6.0,124.93,136.61,119.35,68.15
MNG-2019-0020,mango,Hoedspruit_A,2025-2026,3,B3,3,24,2026-01-31,TM_02,323.96,17.45,9.0,6.51,6.0,7.0,95.69,125.02,116.22,73.36
MNG-2019-0021,mango,Hoedspruit_A,2025-2026,1,B3,11,11,2026-02-11,TM_02,376.51,14.89,3.0,1.11,4.0,5.0,87.36,171.2,120.17,71.69
MNG-2019-0021,mango,Hoedspruit_A,2025-2026,2,B1,14,1,2026-03-04,TM_02,358.49,14.94,5.0,0.77,5.0,4.0,95.25,152.88,112.16,73.87
MNG-2019-0021,mango,Hoedspruit_A,2025-2026,3,B4,1,21,2026-02-21,TM_01,360.91,15.55,4.0,1.65,4.0,6.0,94.64,156.06,138.34,67.75
MNG-2019-0022,mango,Hoedspruit_A,2025-2026,1,B2,2,4,2026-01-21,TM_03,321.16,14.89,6.0,4.36,5.0,5.0,120.07,124.55,111.88,
MNG-2019-0022,mango,Hoedspruit_A,2025-2026,2,B2,6,19,2026-02-17,JN_01,369.71,16.44,6.0,3.43,4.0,5.0,121.46,129.8,121.91,106.34
MNG-2019-0023,mango,Hoedspruit_A,2025-2026,1,B1,19,5,2026-03-06,JN_01,377.37,17.77,6.0,4.97,5.0,4.0,78.2,144.78,108.99,94.61
MNG-2019-0023,mango,Hoedspruit_A,2025-2026,2,B1,10,9,2026-02-21,TM_02,342.51,18.94,6.0,6.59,4.0,5.0,71.15,141.99,97.98,84.01
MNG-2019-0023,mango,Hoedspruit_A,2025-2026,3,B3,2,6,2026-03-10,JN_01,353.1,19.64,6.0,6.02,4.0,4.0,96.24,128.45,111.34,88.51
MNG-2019-0024,mango,Hoedspruit_A,2025-2026,1,B1,1,15,2026-03-15,TM_03,419.63,15.22,6.0,5.5,3.0,6.0,63.48,131.85,87.95,62.25
MNG-2019-0024,mango,Hoedspruit_A,2025-2026,2,B2,9,19,2026-01-20,TM_03,395.4,17.93,6.0,5.34,5.0,6.0,67.7,151.61,69.38,70.0
MNG-2019-0024,mango,Hoedspruit_A,2025-2026,3,B4,2,2,2026-03-15,JN_01,425.57,17.36,6.0,4.97,5.0,6.0,62.6,134.16,68.41,61.63
MNG-2019-0025,mango,Hoedspruit_A,2025-2026,1,B3,5,27,2026-02-26,JN_01,410.41,18.06,4.0,2.46,1.0,5.0,140.76,138.31,106.78,83.1
MNG-2019-0025,mango,Hoedspruit_A,2025-2026,2,B4,12,3,2026-01-16,JN_01,411.0,18.85,5.0,2.48,1.0,3.0,141.7,157.17,97.04,95.76
MNG-2019-0025,mango,Hoedspruit_A,2025-2026,3,B2,18,17,2026-02-21,TM_02,363.52,18.69,3.0,2.45,2.0,5.0,126.76,141.43,98.72,92.01
MNG-2019-0026,mango,Hoedspruit_A,2025-2026,1,B1,15,16,2026-03-14,TM_01,239.86,16.91,6.0,4.19,5.0,5.0,118.1,131.81,117.95,88.89
MNG-2019-0026,mango,Hoedspruit_A,2025-2026,2,B4,3,12,2026-02-13,TM_02,337.28,16.09,6.0,4.77,6.0,7.0,113.68,124.99,,92.61
MNG-2019-0026,mango,Hoedspruit_A,2025-2026,3,B3,19,3,2026-02-25,TM_01,272.41,,5.0,4.84,7.0,7.0,84.85,142.34,125.77,96.26
MNG-2020-0001,mango,Hoedspruit_A,2025-2026,1,B1,13,9,2026-01-19,JN_01,339.02,16.78,6.0,5.2,7.0,6.0,131.01,136.26,108.95,97.89
MNG-2020-0001,mango,Hoedspruit_A,2025-2026,2,B1,9,5,2026-01-16,JN_01,303.74,16.24,6.0,4.3,9.0,5.0,127.05,143.24,118.75,95.84
MNG-2020-0001,mango,Hoedspruit_A,2025-2026,3,B1,5,1,2026-02-19,JN_01,279.34,13.61,7.0,3.46,6.0,5.0,113.08,147.19,106.8,97.77
MNG-2020-0002,mango,Hoedspruit_A,2025-2026,1,B1,16,18,2026-03-06,TM_03,,13.45,4.0,5.29,1.0,5.0,92.58,157.88,-64.5,62.78
