genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance_score,tree_vigor_score,yield_kg_per_tree,days_to_maturity,fruit_length_mm,fruit_width_mm
MNG-2018-0006,mango,Hoedspruit_A,2024-2025,1,B3,2,5,2025-01-21,TM_03,338.69,17.23,5.0,3.39,3.0,4.0,84.82,175.73,103.34,91.94
MNG-2018-0006,mango,Hoedspruit_A,2024-2025,2,B3,16,13,2025-03-15,TM_03,417.37,17.32,4.0,,4.0,5.0,121.22,171.41,94.25,91.53
MNG-2018-0006,mango,Hoedspruit_A,2024-2025,3,B3,3,14,2025-01-31,TM_02,361.98,19.33,3.0,3.52,3.0,5.0,90.9,154.54,97.01,85.68
MNG-2018-0007,mango,Hoedspruit_A,2024-2025,1,B3,17,29,2025-03-06,TM_01,301.68,16.32,6.0,4.88,7.0,6.0,78.66,146.77,130.62,69.49
MNG-2018-0007,mango,Hoedspruit_A,2024-2025,2,B3,8,23,2025-03-05,TM_02,266.74,1.72,5.0,6.44,6.0,6.0,100.47,129.04,135.76,67.67
MNG-2018-0007,mango,Hoedspruit_A,2024-2025,3,B3,12,10,2025-02-22,TM_01,278.85,15.58,7.0,,7.0,6.0,75.79,138.04,125.46,78.29
MNG-2018-0008,mango,Hoedspruit_A,2024-2025,1,B4,12,6,2025-01-31,JN_01,315.24,15.16,5.0,6.05,5.0,6.0,85.64,143.0,115.62,78.92
MNG-2018-0008,mango,Hoedspruit_A,2024-2025,2,B4,12,5,2025-01-31,TM_02,335.41,13.93,4.0,4.97,5.0,6.0,93.21,139.08,136.45,69.89
MNG-2018-0008,mango,Hoedspruit_A,2024-2025,3,B4,17,5,2025-02-04,TM_02,307.65,15.25,4.0,6.08,6.0,7.0,83.57,135.5,104.58,78.74
MNG-2018-0009,mango,Hoedspruit_A,2024-2025,1,B4,12,9,2025-02-08,TM_03,401.23,16.09,4.0,4.76,3.0,6.0,77.79,139.2,125.05,93.88
MNG-2018-0009,mango,Hoedspruit_A,2024-2025,2,B2,4,28,2025-03-11,TM_02,346.64,13.88,6.0,2.93,2.0,6.0,80.27,146.08,117.08,80.27
MNG-2018-0009,mango,Hoedspruit_A,2024-2025,3,B2,19,19,2025-02-26,JN_01,414.37,13.71,6.0,4.28,4.0,6.0,89.93,144.67,116.31,82.89
MNG-2018-0010,mango,Hoedspruit_A,2024-2025,1,B1,3,3,2025-01-31,TM_02,358.12,15.02,5.0,5.58,2.0,5.0,50.76,133.95,114.2,67.0
MNG-2018-0010,mango,Hoedspruit_A,2024-2025,2,B1,12,6,2025-02-27,TM_02,408.93,15.69,5.0,4.14,3.0,3.0,74.99,125.51,116.7,78.78
MNG-2018-0010,mango,Hoedspruit_A,2024-2025,3,B4,8,1,2025-01-30,TM_02,,14.78,4.0,4.47,1.0,3.0,56.09,132.14,122.51,64.39
MNG-2018-0011,mango,Hoedspruit_A,2024-2025,1,B4,4,3,2025-01-28,TM_03,372.84,18.54,6.0,4.96,3.0,6.0,69.8,135.08,122.56,
MNG-2018-0011,mango,Hoedspruit_A,2024-2025,2,B1,7,29,2025-01-15,TM_03,299.79,18.6,5.0,5.87,2.0,6.0,75.73,140.31,118.69,64.35
MNG-2018-0011,mango,Hoedspruit_A,2024-2025,3,B4,3,25,2025-03-06,JN_01,375.88,18.48,5.0,5.26,4.0,6.0,81.93,138.51,131.8,60.55
MNG-2018-0012,mango,Hoedspruit_A,2024-2025,1,B3,3,22,2025-02-20,TM_01,374.39,18.47,4.0,2.95,4.0,5.0,87.37,145.08,137.19,87.4
MNG-2018-0012,mango,Hoedspruit_A,2024-2025,2,B2,9,12,2025-02-03,JN_01,373.79,16.67,5.0,1.86,6.0,5.0,98.02,,133.41,84.41
MNG-2018-0012,mango,Hoedspruit_A,2024-2025,3,B3,10,8,2025-02-20,TM_03,349.78,17.98,5.0,2.66,,6.0,107.39,144.57,141.53,73.44
MNG-2018-0013,mango,Hoedspruit_A,2024-2025,2,B4,17,1,2025-03-05,JN_01,344.66,17.97,5.0,6.28,6.0,5.0,126.63,121.36,101.24,78.35
MNG-2018-0013,mango,Hoedspruit_A,2024-2025,3,B4,7,20,2025-01-28,TM_02,295.71,15.45,4.0,6.68,4.0,5.0,136.6,121.53,74.98,80.15
MNG-2018-0014,mango,Hoedspruit_A,2024-2025,1,B2,16,13,2025-01-26,JN_01,363.29,13.65,7.0,4.57,2.0,5.0,96.89,149.44,148.04,108.59
MNG-2018-0014,mango,Hoedspruit_A,2024-2025,2,B2,17,3,2025-01-16,TM_02,320.77,14.53,6.0,5.34,2.0,4.0,95.63,148.59,132.19,106.15
MNG-2018-0014,mango,Hoedspruit_A,2024-2025,3,B1,16,1,2025-02-20,TM_01,314.8,12.43,6.0,4.88,3.0,4.0,102.63,157.04,142.61,110.28
MNG-2018-0015,mango,Hoedspruit_A,2024-2025,1,B3,9,8,2025-01-22,TM_02,341.58,13.57,3.0,5.97,2.0,6.0,83.83,119.13,112.75,71.91
MNG-2018-0015,mango,Hoedspruit_A,2024-2025,2,B4,6,9,2025-02-06,JN_01,373.71,13.43,2.0,4.58,3.0,6.0,91.28,132.24,132.56,82.86
MNG-2018-0015,mango,Hoedspruit_A,2024-2025,3,B2,11,10,2025-02-13,JN_01,357.91,15.19,3.0,6.13,4.0,5.0,95.47,128.87,136.72,90.19
MNG-2018-0016,mango,Hoedspruit_A,2024-2025,1,B1,6,1,2025-03-14,TM_03,360.61,15.02,4.0,3.57,4.0,7.0,87.4,150.24,107.86,72.98
MNG-2018-0016,mango,Hoedspruit_A,2024-2025,2,B2,1,23,2025-03-10,TM_01,343.04,15.21,2.0,4.18,6.0,7.0,86.61,143.58,117.05,70.35
MNG-2018-0016,mango,Hoedspruit_A,2024-2025,3,B3,1,29,2025-01-29,TM_03,356.01,14.78,3.0,3.8,4.0,7.0,125.71,162.3,103.61,70.61
MNG-2018-0017,mango,Hoedspruit_A,2024-2025,1,B2,18,27,2025-01-24,TM_02,313.74,15.96,9.0,4.15,3.0,5.0,120.67,154.35,103.7,83.15
MNG-2018-0017,mango,Hoedspruit_A,2024-2025,2,B1,18,4,2025-02-02,TM_01,333.31,14.02,8.0,2.77,6.0,5.0,127.51,141.02,108.64,88.11
MNG-2018-0017,mango,Hoedspruit_A,2024-2025,3,B4,8,28,2025-02-13,JN_01,298.51,13.67,,4.73,6.0,4.0,116.23,152.35,116.0,81.3
MNG-2018-0018,mango,Hoedspruit_A,2024-2025,1,B2,18,7,2025-02-20,TM_03,372.19,18.29,5.0,0.38,3.0,5.0,124.49,141.01,118.38,78.74
MNG-2018-0018,mango,Hoedspruit_A,2024-2025,2,B1,11,27,2025-01-26,JN_01,288.95,17.69,4.0,2.07,4.0,4.0,102.15,143.41,116.88,80.95
MNG-2018-0018,mango,Hoedspruit_A,2024-2025,3,B2,2,27,2025-01-24,JN_01,344.68,17.26,5.0,2.18,4.0,6.0,126.59,146.73,107.31,75.81
MNG-2018-0019,mango,Hoedspruit_A,2024-2025,1,B1,6,7,2025-02-20,TM_01,418.25,16.88,4.0,5.5,6.0,7.0,71.02,132.14,92.56,96.96
MNG-2018-0019,mango,Hoedspruit_A,2024-2025,2,B2,7,27,2025-02-01,TM_03,395.26,17.61,4.0,7.93,7.0,7.0,95.61,128.04,88.02,102.66
MNG-2018-0019,mango,Hoedspruit_A,2024-2025,3,B1,4,16,2025-02-03,JN_01,443.01,16.39,6.0,7.77,6.0,7.0,104.3,124.45,,87.86
MNG-2018-0020,mango,Hoedspruit_A,2024-2025,1,B1,19,26,2025-03-07,TM_03,446.44,16.72,5.0,6.64,4.0,5.0,119.47,135.16,109.5,77.41
MNG-2018-0020,mango,Hoedspruit_A,2024-2025,2,B4,7,28,2025-01-18,TM_01,404.89,16.11,5.0,5.69,4.0,4.0,110.57,138.0,124.71,76.72
MNG-2018-0020,mango,Hoedspruit_A,2024-2025,3,B1,15,13,2025-02-05,TM_02,421.07,15.93,7.0,7.03,,6.0,137.03,126.53,118.03,78.96
MNG-2018-0021,mango,Hoedspruit_A,2024-2025,1,B2,18,10,2025-01-28,TM_03,317.46,19.11,6.0,4.13,2.0,6.0,94.84,122.14,92.33,75.26
MNG-2018-0021,mango,Hoedspruit_A,2024-2025,2,B2,12,16,2025-03-06,TM_03,347.06,19.02,4.0,5.1,2.0,5.0,81.49,131.23,87.18,71.29
MNG-2018-0021,mango,Hoedspruit_A,2024-2025,3,B2,6,2,2025-01-22,JN_01,334.23,20.21,4.0,6.62,1.0,6.0,103.82,115.89,105.76,76.63
MNG-2018-0022,mango,Hoedspruit_A,2024-2025,1,B4,9,2,2025-02-12,JN_01,386.46,14.35,5.0,4.36,3.0,6.0,130.55,157.01,113.31,69.49
MNG-2018-0022,mango,Hoedspruit_A,2024-2025,2,B3,5,5,2025-01-26,JN_01,424.76,14.1,6.0,3.47,4.0,6.0,110.59,161.52,103.12,69.23
MNG-2018-0022,mango,Hoedspruit_A,2024-2025,3,B4,8,6,2025-01-29,JN_01,403.63,11.94,4.0,4.09,5.0,7.0,97.85,151.61,106.31,64.85
MNG-2018-0023,mango,Hoedspruit_A,2024-2025,1,B1,4,8,2025-02-26,TM_03,341.71,14.54,6.0,4.04,5.0,6.0,143.31,165.83,,73.19
MNG-2018-0023,mango,Hoedspruit_A,2024-2025,2,B2,11,19,2025-03-03,TM_03,327.48,16.98,5.0,3.34,5.0,6.0,151.17,150.22,96.35,77.18
MNG-2018-0023,mango,Hoedspruit_A,2024-2025,3,B1,2,11,2025-02-03,JN_01,276.19,16.34,6.0,2.52,5.0,7.0,154.11,157.4,98.49,75.82
MNG-2018-0024,mango,Hoedspruit_A,2024-2025,1,B3,15,25,2025-03-07,JN_01,328.3,14.38,5.0,5.62,4.0,4.0,77.05,133.1,89.65,73.08
MNG-2018-0024,mango,Hoedspruit_A,2024-2025,2,B2,10,5,2025-02-05,TM_01,289.48,14.62,6.0,5.93,4.0,5.0,56.67,128.61,93.1,81.06
MNG-2018-0024,mango,Hoedspruit_A,2024-2025,3,B2,11,6,2025-01-20,TM_01,317.71,15.35,6.0,5.66,5.0,5.0,49.53,132.55,83.91,60.71
MNG-2018-0025,mango,Hoedspruit_A,2024-2025,1,B2,3,2,2025-01-21,TM_03,354.17,16.32,3.0,3.19,7.0,5.0,99.15,157.95,165.51,62.8
MNG-2018-0025,mango,Hoedspruit_A,2024-2025,2,B4,6,22,2025-02-01,TM_02,296.07,17.04,3.0,1.76,6.0,,95.31,163.17,160.24,63.17
MNG-2018-0026,mango,Hoedspruit_A,2024-2025,1,B2,16,11,2025-02-25,TM_01,351.47,16.9,9.0,3.95,4.0,6.0,94.19,138.82,99.4,70.76
MNG-2018-0026,mango,Hoedspruit_A,2024-2025,2,B4,8,2,2025-02-22,TM_03,322.03,17.11,7.0,2.53,5.0,5.0,97.68,131.96,110.03,67.42
MNG-2018-0026,mango,Hoedspruit_A,2024-2025,3,B1,3,7,2025-01-27,TM_03,292.91,15.89,7.0,2.03,4.0,5.0,84.21,,120.54,68.97
MNG-2019-0001,mango,Hoedspruit_A,2024-2025,2,B4,14,12,2025-03-09,TM_02,358.0,15.86,6.0,4.35,5.0,6.0,102.37,136.43,102.18,82.88
MNG-2019-0001,mango,Hoedspruit_A,2024-2025,3,B3,15,28,2025-02-12,TM_03,329.41,17.91,6.0,3.54,6.0,7.0,106.36,146.71,109.46,69.85
MNG-2019-0002,mango,Hoedspruit_A,2024-2025,1,B1,4,22,2025-01-15,TM_03,360.76,15.05,5.0,8.05,7.0,6.0,92.34,132.61,130.49,76.4
MNG-2019-0002,mango,Hoedspruit_A,2024-2025,2,B2,8,23,2025-03-06,TM_03,353.06,16.8,5.0,7.11,7.0,6.0,84.42,125.94,134.45,94.94
MNG-2019-0002,mango,Hoedspruit_A,2024-2025,3,B2,18,21,2025-02-16,TM_01,327.59,17.5,5.0,8.31,8.0,6.0,79.03,121.98,134.72,81.84
MNG-2019-0003,mango,Hoedspruit_A,2024-2025,1,B2,3,14,2025-02-20,JN_01,359.89,12.4,8.0,6.93,4.0,4.0,111.02,137.96,120.32,92.1
MNG-2019-0003,mango,Hoedspruit_A,2024-2025,2,B4,3,6,2025-02-11,TM_01,360.16,11.27,6.0,4.65,3.0,8.0,113.39,137.6,111.29,81.53
MNG-2019-0003,mango,Hoedspruit_A,2024-2025,3,B3,12,27,2025-02-05,TM_01,397.47,13.23,6.0,5.59,3.0,4.0,107.07,140.66,94.56,75.02
MNG-2019-0004,mango,Hoedspruit_A,2024-2025,1,B2,7,4,2025-02-22,TM_01,334.64,16.54,8.0,-0.68,,6.0,77.34,137.52,69.96,81.45
MNG-2019-0004,mango,Hoedspruit_A,2024-2025,2,B3,13,24,2025-02-18,TM_03,357.71,17.59,6.0,1.44,4.0,6.0,92.08,123.1,84.68,78.15
MNG-2019-0004,mango,Hoedspruit_A,2024-2025,3,B4,16,18,2025-02-16,TM_03,375.32,15.73,,0.19,3.0,5.0,109.72,134.74,77.78,80.35
MNG-2019-0005,mango,Hoedspruit_A,2024-2025,1,B2,8,1,2025-03-12,TM_02,422.22,13.57,6.0,2.72,5.0,5.0,85.64,162.97,105.55,104.7
MNG-2019-0005,mango,Hoedspruit_A,2024-2025,2,B1,11,16,2025-01-26,TM_01,415.56,14.01,6.0,4.78,6.0,5.0,93.35,149.9,120.35,97.54
MNG-2019-0005,mango,Hoedspruit_A,2024-2025,3,B2,6,3,2025-01-31,TM_03,427.36,12.93,9.0,1.7,4.0,4.0,78.33,143.05,118.08,85.56
MNG-2019-0006,mango,Hoedspruit_A,2024-2025,1,B4,16,16,2025-01-23,TM_03,403.6,15.76,1.0,5.95,6.0,5.0,91.52,139.67,128.4,67.23
MNG-2019-0006,mango,Hoedspruit_A,2024-2025,2,B1,16,12,2025-01-24,TM_03,40.07,17.36,9.0,6.5,8.0,5.0,104.8,145.9,114.91,59.92
MNG-2019-0006,mango,Hoedspruit_A,2024-2025,3,B1,3,22,2025-01-18,TM_02,425.84,18.34,8.0,6.44,7.0,4.0,78.41,134.54,122.52,68.02
MNG-2019-0007,mango,Hoedspruit_A,2024-2025,1,B4,16,29,2025-01-25,JN_01,354.6,15.29,8.0,6.27,9.0,6.0,54.25,122.3,99.66,70.6
MNG-2019-0007,mango,Hoedspruit_A,2024-2025,2,B4,19,15,2025-01-22,TM_02,358.49,13.92,6.0,6.2,9.0,7.0,48.35,134.67,,71.02
MNG-2019-0007,mango,Hoedspruit_A,2024-2025,3,B2,10,28,2025-02-03,TM_03,412.21,17.75,8.0,5.35,6.0,6.0,74.16,141.4,88.36,75.03
MNG-2019-0008,mango,Hoedspruit_A,2024-2025,1,B3,8,7,2025-01-18,JN_01,417.46,17.42,5.0,2.53,5.0,4.0,78.46,146.11,124.84,91.6
MNG-2019-0008,mango,Hoedspruit_A,2024-2025,2,B4,2,21,2025-03-14,JN_01,424.08,17.13,5.0,1.93,3.0,6.0,101.83,146.89,126.15,84.39
MNG-2019-0008,mango,Hoedspruit_A,2024-2025,3,B1,10,6,2025-02-17,TM_02,421.24,17.9,6.0,2.29,6.0,4.0,81.03,161.69,118.73,85.07
MNG-2019-0009,mango,Hoedspruit_A,2024-2025,1,B3,8,20,2025-03-06,TM_02,244.57,16.48,5.0,5.1,8.0,,78.19,143.13,81.84,92.18
MNG-2019-0009,mango,Hoedspruit_A,2024-2025,2,B3,9,13,2025-01-25,TM_01,274.23,16.36,5.0,4.87,8.0,3.0,77.44,157.36,95.14,89.22
MNG-2019-0010,mango,Hoedspruit_A,2024-2025,2,B2,6,14,2025-02-16,TM_01,387.57,16.64,4.0,6.03,8.0,5.0,85.14,134.08,104.44,76.33
MNG-2019-0010,mango,Hoedspruit_A,2024-2025,3,B2,1,23,2025-01-18,TM_01,411.8,17.23,3.0,6.25,6.0,6.0,94.18,131.44,97.29,85.8
MNG-2019-0011,mango,Hoedspruit_A,2024-2025,1,B3,1,4,2025-02-04,TM_03,380.87,16.5,7.0,2.31,4.0,6.0,62.25,130.19,118.64,92.68
MNG-2019-0011,mango,Hoedspruit_A,2024-2025,2,B4,9,3,2025-02-27,TM_01,331.85,16.86,7.0,3.44,7.0,6.0,62.72,129.88,114.57,73.76
MNG-2019-0011,mango,Hoedspruit_A,2024-2025,3,B2,16,18,2025-02-18,TM_03,324.38,18.36,6.0,2.35,5.0,7.0,90.76,133.55,114.8,94.83
MNG-2019-0012,mango,Hoedspruit_A,2024-2025,1,B4,18,13,2025-01-25,TM_01,313.03,18.72,7.0,4.99,6.0,7.0,69.29,112.82,124.66,80.88
MNG-2019-0012,mango,Hoedspruit_A,2024-2025,2,B2,17,22,2025-01-16,TM_02,351.35,19.59,7.0,6.24,5.0,8.0,80.52,116.83,116.43,76.66
MNG-2019-0012,mango,Hoedspruit_A,2024-2025,3,B4,14,15,2025-02-03,JN_01,317.93,19.34,6.0,5.23,6.0,9.0,103.04,112.22,130.75,84.78
MNG-2019-0013,mango,Hoedspruit_A,2024-2025,2,B4,16,19,2025-01-30,JN_01,329.24,20.0,3.0,3.67,3.0,4.0,93.83,148.09,110.64,68.07
MNG-2019-0013,mango,Hoedspruit_A,2024-2025,3,B1,15,3,2025-02-19,JN_01,337.44,17.44,5.0,3.02,2.0,4.0,120.94,152.54,113.13,58.32
MNG-2019-0014,mango,Hoedspruit_A,2024-2025,1,B2,17,27,2025-01-22,JN_01,272.49,17.34,6.0,3.82,6.0,7.0,120.66,131.55,133.89,80.08
MNG-2019-0014,mango,Hoedspruit_A,2024-2025,2,B3,8,4,2025-02-19,TM_03,293.14,16.99,5.0,5.22,4.0,6.0,117.73,144.06,101.4,77.0
MNG-2019-0014,mango,Hoedspruit_A,2024-2025,3,B2,18,1,2025-02-05,TM_03,283.84,15.58,6.0,5.7,5.0,5.0,116.35,157.88,122.8,73.08
MNG-2019-0015,mango,Hoedspruit_A,2024-2025,1,B1,14,17,2025-01-23,TM_02,345.29,16.06,6.0,4.31,4.0,5.0,102.07,151.95,73.85,62.65
MNG-2019-0015,mango,Hoedspruit_A,2024-2025,2,B3,2,22,2025-03-06,TM_01,311.07,16.06,7.0,3.88,5.0,5.0,104.44,149.96,67.21,63.31
MNG-2019-0015,mango,Hoedspruit_A,2024-2025,3,B4,11,28,2025-02-16,TM_01,375.59,18.15,7.0,4.32,5.0,7.0,80.74,133.67,85.8,64.58
MNG-2019-0016,mango,Hoedspruit_A,2024-2025,1,B3,9,5,2025-02-17,TM_01,288.04,11.84,5.0,5.47,6.0,6.0,120.61,150.16,,100.15
MNG-2019-0016,mango,Hoedspruit_A,2024-2025,2,B1,11,15,2025-02-13,JN_01,310.93,11.35,5.0,5.3,5.0,6.0,108.78,143.88,96.69,101.29
MNG-2019-0016,mango,Hoedspruit_A,2024-2025,3,B1,19,29,2025-01-19,TM_01,333.81,10.33,6.0,6.15,4.0,5.0,126.57,151.96,108.67,91.05
MNG-2019-0017,mango,Hoedspruit_A,2024-2025,1,B3,9,17,2025-02-18,TM_01,333.78,14.0,4.0,3.67,4.0,5.0,123.47,161.8,87.84,84.99
MNG-2019-0017,mango,Hoedspruit_A,2024-2025,2,B1,15,11,2025-02-06,TM_01,380.85,14.42,4.0,2.95,3.0,4.0,101.33,163.94,88.18,87.45
MNG-2019-0017,mango,Hoedspruit_A,2024-2025,3,B4,8,20,2025-02-13,TM_01,329.88,14.7,6.0,3.55,5.0,5.0,117.6,157.38,84.48,82.47
MNG-2019-0018,mango,Hoedspruit_A,2024-2025,1,B2,8,26,2025-01-25,JN_01,331.91,17.48,5.0,0.91,6.0,5.0,75.09,128.3,98.56,71.26
MNG-2019-0018,mango,Hoedspruit_A,2024-2025,2,B1,10,7,2025-02-09,TM_03,298.62,,5.0,1.88,5.0,5.0,74.46,131.33,97.07,90.41
MNG-2019-0018,mango,Hoedspruit_A,2024-2025,3,B4,1,5,2025-02-27,TM_02,291.11,16.96,6.0,0.69,8.0,4.0,94.52,143.47,107.6,90.42
MNG-2019-0019,mango,Hoedspruit_A,2024-2025,1,B3,7,28,2025-02-25,JN_01,356.7,18.14,5.0,7.14,5.0,3.0,130.42,,129.26,80.11
MNG-2019-0019,mango,Hoedspruit_A,2024-2025,2,B3,18,16,2025-03-09,TM_01,321.15,15.8,6.0,7.16,5.0,4.0,89.69,136.55,143.41,84.44
MNG-2019-0019,mango,Hoedspruit_A,2024-2025,3,B3,5,20,2025-01-28,TM_01,307.45,16.63,6.0,6.15,6.0,4.0,106.59,133.51,129.18,70.83
MNG-2019-0020,mango,Hoedspruit_A,2024-2025,1,B2,12,13,2025-02-03,TM_02,385.49,17.64,8.0,6.17,5.0,6.0,131.9,128.22,121.65,77.89
MNG-2019-0020,mango,Hoedspruit_A,2024-2025,2,B2,11,18,2025-01-24,TM_01,324.74,-16.05,8.0,7.89,6.0,5.0,115.33,-120.09,104.81,67.0
MNG-2019-0020,mango,Hoedspruit_A,2024-2025,3,B3,7,16,2025-03-11,TM_01,350.53,16.39,8.0,8.68,5.0,5.0,102.6,130.09,123.71,81.71
MNG-2019-0021,mango,Hoedspruit_A,2024-2025,1,B3,15,24,2025-03-12,TM_03,401.02,14.45,3.0,0.44,4.0,5.0,91.01,163.44,127.47,66.84
MNG-2019-0021,mango,Hoedspruit_A,2024-2025,2,B2,11,20,2025-02-07,TM_03,397.6,12.74,4.0,1.69,4.0,5.0,95.11,170.23,114.37,73.86
MNG-2019-0021,mango,Hoedspruit_A,2024-2025,3,B4,14,15,2025-01-24,JN_01,367.42,14.13,3.0,0.54,4.0,6.0,89.93,166.47,119.39,81.31
MNG-2019-0022,mango,Hoedspruit_A,2024-2025,1,B2,6,6,2025-01-31,TM_02,354.67,14.76,,5.22,7.0,6.0,119.65,118.92,117.8,102.91
MNG-2019-0022,mango,Hoedspruit_A,2024-2025,2,B4,19,21,2025-01-17,TM_02,376.47,15.97,4.0,4.16,6.0,6.0,119.9,346.15,103.24,106.34
MNG-2019-0022,mango,Hoedspruit_A,2024-2025,3,B2,1,16,2025-02-01,TM_01,364.51,14.32,6.0,,6.0,6.0,113.39,120.46,105.78,
MNG-2019-0023,mango,Hoedspruit_A,2024-2025,2,B4,12,15,2025-03-08,TM_03,387.46,20.18,6.0,4.5,5.0,5.0,91.02,145.99,98.15,81.88
MNG-2019-0023,mango,Hoedspruit_A,2024-2025,3,B2,8,8,2025-02-02,TM_02,336.48,19.06,7.0,5.74,4.0,5.0,96.7,143.5,94.8,93.25
MNG-2019-0024,mango,Hoedspruit_A,2024-2025,2,B1,10,6,2025-02-22,TM_03,414.74,,5.0,5.44,4.0,6.0,91.01,126.82,74.26,59.37
MNG-2019-0024,mango,Hoedspruit_A,2024-2025,3,B3,16,11,2025-01-17,TM_01,421.94,17.17,7.0,5.86,5.0,7.0,49.51,136.71,81.17,64.47
MNG-2019-0025,mango,Hoedspruit_A,2024-2025,1,B1,5,28,2025-01-17,TM_01,,19.79,4.0,1.7,1.0,4.0,126.11,,98.95,92.07
MNG-2019-0025,mango,Hoedspruit_A,2024-2025,2,B1,15,20,2025-02-03,JN_01,390.21,17.16,2.0,2.02,1.0,4.0,146.27,157.86,94.88,88.02
MNG-2019-0025,mango,Hoedspruit_A,2024-2025,3,B3,1,2,2025-02-01,TM_03,401.73,17.17,3.0,1.72,2.0,6.0,137.5,139.68,91.52,77.7
MNG-2019-0026,mango,Hoedspruit_A,2024-2025,1,B1,14,5,2025-01-23,JN_01,272.46,14.94,7.0,4.15,7.0,5.0,86.31,139.5,122.26,94.24
MNG-2019-0026,mango,Hoedspruit_A,2024-2025,2,B2,13,7,2025-02-05,TM_02,304.24,14.94,5.0,3.46,7.0,6.0,111.81,128.83,122.95,100.81
MNG-2019-0026,mango,Hoedspruit_A,2024-2025,3,B3,1,27,2025-01-23,TM_02,293.72,14.95,6.0,2.68,6.0,4.0,91.44,132.7,127.98,100.73
MNG-2020-0001,mango,Hoedspruit_A,2024-2025,1,B3,10,14,2025-03-01,JN_01,342.98,13.55,7.0,4.72,7.0,4.0,128.75,142.54,115.43,88.17
MNG-2020-0001,mango,Hoedspruit_A,2024-2025,2,B3,7,19,2025-02-21,JN_01,301.29,15.51,8.0,3.83,7.0,5.0,124.34,147.18,127.3,99.75
MNG-2020-0001,mango,Hoedspruit_A,2024-2025,3,B1,7,8,2025-01-18,TM_01,323.94,14.35,7.0,3.67,7.0,5.0,130.27,138.38,111.64,96.12
MNG-2020-0002,mango,Hoedspruit_A,2024-2025,1,B3,7,17,2025-01-25,JN_01,359.65,13.8,6.0,5.65,3.0,7.0,88.88,136.35,67.36,75.59
MNG-2020-0002,mango,Hoedspruit_A,2024-2025,2,B2,5,17,2025-02-17,TM_02,379.9,14.94,6.0,3.49,2.0,7.0,72.16,151.0,83.06,80.44
MNG-2020-0002,mango,Hoedspruit_A,2024-2025,3,B4,5,27,2025-02-01,TM_02,314.63,14.96,5.0,6.58,4.0,6.0,95.99,146.59,72.34,68.48
